datetime,rv,lvol,roughsim
2011-10-11,0.00021526236213529509,-8.443652984782704,-9.774459224725618
2011-10-12,0.0001867934858370397,-8.585506905170309,-9.602269919503449
2011-10-13,0.00024921117526580393,-8.297209927490638,-8.930325666342465
2011-10-14,0.00014898571422001416,-8.811660134333403,-10.095806881327906
2011-10-16,1.74212630503545e-05,-10.957819083407454,-8.512608072458402
2011-10-17,0.00020959913974237358,-8.470313709808378,-8.374485114589005
2011-10-18,0.0004087070608971101,-7.802511891063929,-8.483224245074565
2011-10-19,0.0002582922155466672,-8.261418995573033,-10.511073265456066
2011-10-20,0.00038854244136328806,-7.853108149944935,-9.44823016895753
2011-10-21,0.00014329950562992681,-8.850573673031935,-10.731525996090243
2011-10-23,6.475789408430093e-05,-9.644854948455963,-9.833154763034345
2011-10-24,0.0001447508568706381,-8.840496521869705,-10.583844513423033
2011-10-25,0.00030492568387501104,-8.095442470472836,-10.546735215070495
2011-10-26,0.00030529361997489086,-8.094236556001933,-10.837588780237553
2011-10-27,0.00016058980087370225,-8.736657264858627,-11.22432037378455
2011-10-28,0.00013169732244683766,-8.9350042801215,-9.735463785098586
2011-10-30,2.1557976864418048e-05,-10.744764653783907,-10.794874799876496
2011-10-31,0.00016755785493673462,-8.694181863729531,-8.901929618816851
2011-11-01,0.0005113739436571296,-7.578409447408109,-10.575642920918376
2011-11-02,0.00029210030810004005,-8.138413293795237,-9.592569136525478
2011-11-03,0.00040395836002346774,-7.814198754563966,-9.244813310185167
2011-11-04,0.0002301819014203439,-8.376640685877875,-10.194649149335957
2011-11-06,5.488260207047313e-05,-9.81031416185007,-9.718746895981731
2011-11-07,0.00027519590743602573,-8.198027323251035,-8.013194127516396
2011-11-08,0.00017524529928733426,-8.649323855306124,-9.620475518141628
2011-11-09,0.00033672103628438826,-7.996255755921792,-9.09832713847056
2011-11-10,0.0003405020511855057,-7.985089408353187,-10.223112597446633
2011-11-11,0.00012161208841998458,-9.014674182024631,-7.0511560452673425
2011-11-13,3.7328345391578354e-05,-10.195757589846032,-8.730945800535004
2011-11-14,0.00017744491102274793,-8.636850357655794,-8.813429147548566
2011-11-15,0.0002117761152854196,-8.459980901290939,-8.39589755009732
2011-11-16,0.00027731337188462564,-8.190362384779151,-9.739001832578538
2011-11-17,0.00040271780174888075,-7.8172744851020965,-8.440435021726008
2011-11-18,0.0002115026660876398,-8.461272953942073,-9.282759815648069
2011-11-20,6.661589052456317e-05,-9.616567412412628,-8.581486724725572
2011-11-21,0.0002463340819361918,-8.308821886705612,-9.592045548977904
2011-11-22,0.00030932267125422224,-8.081125582368378,-10.250620342983824
2011-11-23,0.000246829010401971,-8.30681472664182,-10.078878237148786
2011-11-24,0.00013498106358730144,-8.910376059088255,-10.404506500305242
2011-11-25,0.00017768325850456534,-8.635508039371537,-10.597111998024854
2011-11-27,0.00027108487483469025,-8.213078594846802,-9.199545599012396
2011-11-28,0.0001678054937445469,-8.692705024630712,-12.057957210138731
2011-11-29,0.00023836267697816628,-8.341717191328934,-10.0492530983199
2011-11-30,0.0003705032141900572,-7.900648437988955,-10.594492383927651
2011-12-01,0.00014058628548328228,-8.869689126138473,-9.191487929071018
2011-12-02,0.00016955622233562936,-8.682325990947005,-9.946889660932952
2011-12-04,6.739063843819675e-05,-9.605004445268612,-10.706642169055405
2011-12-05,0.00016644084517927987,-8.700870595880692,-9.606619047391352
2011-12-06,0.00014033589914227312,-8.871471729442991,-8.833263698082257
2011-12-07,0.000188800112373615,-8.574821709053818,-8.913568480000226
2011-12-08,0.00033191266003700635,-8.010638695835032,-9.133243451442153
2011-12-09,0.00019289400370151272,-8.553369723546043,-7.945818364005657
2011-12-11,1.9712079553379496e-05,-10.834278934837041,-6.6814997523100335
2011-12-12,0.00016725753179008625,-8.695975826845315,-8.998003322704617
2011-12-13,0.0001755974477836562,-8.64731641113052,-9.997842453398047
2011-12-14,0.00021892870895687575,-8.426764411021406,-8.099896346332992
2011-12-15,0.0001659603134163908,-8.70376187399578,-9.255140560011712
2011-12-16,0.0001231556769711867,-9.002061336440017,-8.665996487140156
2011-12-18,3.8484675463240854e-05,-10.165250435825273,-8.705581301857984
2011-12-19,0.00014582478863072373,-8.833104734797773,-7.623654806384289
2011-12-20,0.00010487288448272795,-9.162761565177945,-6.851490458872391
2011-12-21,0.00017105346503760354,-8.673534389291273,-7.528510024271397
2011-12-22,9.483462501457562e-05,-9.263375972618416,-8.264823167036415
2011-12-23,3.972521301635536e-05,-10.13352448328135,-9.262310671583577
2011-12-27,4.3213578715249246e-05,-10.049355789990804,-10.784929460759232
2011-12-28,8.290851790728658e-05,-9.397772751918168,-9.586348421965706
2011-12-29,7.405650533178387e-05,-9.510682170578594,-10.137778662389085
2011-12-30,4.5135340732472206e-05,-10.00584501005749,-10.82026618745837
2012-01-03,0.00040455053190354844,-7.812733904908303,-10.408277627572932
2012-01-04,6.791343485980519e-05,-9.597276680529912,-8.229291180534709
2012-01-05,0.00011809628964627394,-9.044010252305508,-8.524662066230999
2012-01-06,9.313488705617413e-05,-9.281461717169428,-10.116165188886455
2012-01-08,1.2767956472897632e-05,-11.268571926340199,-9.644967411076006
2012-01-09,8.873346603859916e-05,-9.329873445121036,-8.46656373136475
2012-01-10,6.0821475817564595e-05,-9.707567610676264,-9.692756162025995
2012-01-11,6.750298990813514e-05,-9.603338666131446,-9.103229692284035
2012-01-12,6.513643090777038e-05,-9.639026550716899,-9.981584965208254
2012-01-13,9.199211709939273e-05,-9.293807668288546,-11.918253311214174
2012-01-15,1.3223994670345995e-05,-11.233477600474519,-10.20662207187748
2012-01-16,4.091036759864496e-05,-10.10412704051836,-11.299575749884808
2012-01-17,5.560630316568859e-05,-9.797213996843846,-10.598501556626735
2012-01-18,8.441264991296851e-05,-9.379793287107912,-10.013137492441093
2012-01-19,5.6599179558788565e-05,-9.779516068287961,-10.271786008504854
2012-01-20,4.369276120029389e-05,-10.038328117174336,-11.149680360882655
2012-01-22,1.4518677472408632e-05,-11.140074635883398,-11.515392271742128
2012-01-23,6.41836685936232e-05,-9.65376176290617,-9.68892888100928
