datetime;HAR;RFSV;actuals
2018-11-21 21:45:00;-18.489983891792228;-15.7253603292613;-16.743949080437087
2018-11-21 21:50:00;-17.488647308672107;-16.050811921895285;-16.23357656073875
2018-11-21 21:55:00;-18.337474327453883;-15.61468218285029;-16.58989280045445
2018-11-21 22:00:00;-18.18738663194852;-16.359027488179947;-17.8428445868879
2018-11-21 22:05:00;-18.42748590039826;-16.17897368131928;-16.33820066738791
2018-11-21 22:10:00;-18.88272272638141;-15.05776231942774;-16.33742418440767
2018-11-21 22:15:00;-18.358139876719854;-15.422855531250049;-17.436183413479394
2018-11-21 22:20:00;-18.454464520537265;-15.535366766440507;-17.43624636992134
2018-11-21 22:25:00;-18.899520144755222;-15.24256211857197;-16.58927232899049
2018-11-21 22:30:00;-18.898399665906133;-15.215553679286081;-17.14880042387475
2018-11-21 22:35:00;-18.65174310323527;-16.51032362973401;-16.050723216843753
2018-11-21 22:40:00;-18.856372954009082;-16.961537572668707;-16.589703978698168
2018-11-21 22:45:00;-18.520625638618746;-15.737774815875893;-17.14993336779918
2018-11-21 22:50:00;-18.765116962588074;-15.681851762848193;-16.926818145933733
2018-11-21 22:55:00;-18.943553433598474;-15.475701464103349;-17.84322214128479
2018-11-21 23:00:00;-18.958398430624122;-16.044543298755396;-16.59072880559349
2018-11-21 23:05:00;-19.25331462481619;-16.927022815821587;-17.438323213346145
2018-11-21 23:10:00;-18.937883928119838;-16.443811117484508;-17.43863771041356
2018-11-21 23:15:00;-19.205120091072665;-16.277680213679957;-17.84397703631522
2018-11-21 23:25:00;-19.255678397992476;-16.35641022195957;-17.43832323114197
2018-11-21 23:30:00;-19.40500121067668;-16.175952008689148;-17.843505253629473
2018-11-21 23:35:00;-19.30464344833296;-16.427588941810583;-15.972131222449006
2018-11-21 23:40:00;-19.37065651412035;-16.264473671737633;-17.844825946107083
2018-11-21 23:45:00;-18.856078597557136;-15.543411371441207;-18.538256025429764
2018-11-21 23:50:00;-19.438796445241216;-16.088221643238303;-16.929232935898177
2018-11-21 23:55:00;-19.59699426046631;-15.882555657897855;-17.15271584769258
2018-11-22 00:00:00;-19.20005163968846;-17.16277950973509;-16.747344987327526
2018-11-22 00:05:00;-19.266752929204237;-15.956867477100017;-16.140806415265914
2018-11-22 00:10:00;-19.092019353468338;-16.267633453514097;-17.845108844869817
2018-11-22 00:15:00;-19.036959439899753;-16.12768252264695;-16.459073761230012
2018-11-22 00:20:00;-19.373396329452696;-15.94751424875888;-16.929119815857696
2018-11-22 00:25:00;-19.109682958321507;-15.84720583590084;-17.440146551359167
2018-11-22 00:30:00;-19.233284308894206;-16.059939068942203;-15.493724564500619
2018-11-22 00:35:00;-19.275018229758068;-16.16349615414171;-16.747156459259923
2018-11-22 00:40:00;-18.87004393519316;-16.810032194281618;-15.900545242154125
2018-11-22 00:45:00;-19.07551569389681;-16.098561002405493;-16.930024652870436
2018-11-22 00:50:00;-18.882671510766265;-16.481140458172668;-15.830696055852135
2018-11-22 00:55:00;-19.080921858594245;-15.973079628244095;-17.15281009617596
2018-11-22 01:00:00;-18.902067451887312;-16.43304355872627;-17.440586421552716
2018-11-22 01:05:00;-19.171159599684295;-15.677002861694216;-16.92991157298208
2018-11-22 01:10:00;-19.216897503150328;-16.019594223447317;-17.84671113807922
2018-11-22 01:15:00;-19.167380903810788;-15.837349150642122;-16.930401552690018
