datetime;GARCH;HAR;RFSV;actuals
2018-11-30 15:00:00;-14.944014452692686;-13.332426738597604;-13.4846265388042;-11.73703848468803
2018-11-30 16:00:00;-15.203082482066087;-13.729875674553684;-12.95423665022788;-12.687299266075815
2018-12-02 18:00:00;-15.278857242042923;-13.274325192392828;-13.232753896087933;-8.500708525067878
2018-12-02 19:00:00;-15.350974193567769;-13.704913584213047;-13.284831730286891;-13.41165033191762
2018-12-02 20:00:00;-15.174396820828674;-11.431613887894992;-13.461727359972322;-13.322289558671413
2018-12-02 21:00:00;-15.323355248009758;-14.27054801186433;-13.844821328430395;-13.638767289306482
2018-12-02 22:00:00;-15.392677361320175;-14.254784491426241;-13.512467983288992;-13.882016884361555
2018-12-02 23:00:00;-14.719110565600088;-14.457482975757665;-14.271371445268633;-14.233447024867747
2018-12-03 00:00:00;-15.117154331499963;-14.581803332345038;-13.978308411940368;-13.90665512488849
2018-12-03 01:00:00;-15.188363611964965;-14.944485809584258;-14.139139251945874;-14.186244424878394
2018-12-03 02:00:00;-15.251957429339503;-14.743226545500052;-13.45472899560882;-13.531982665177072
2018-12-03 03:00:00;-15.285759411901033;-14.924379432810596;-14.118910745833944;-13.275702404238809
2018-12-03 04:00:00;-14.345178895132765;-14.47884394282948;-13.908042601026471;-13.500576871837922
2018-12-03 05:00:00;-14.864790408269812;-14.312496844551713;-13.756988068936808;-13.37078429770636
2018-12-03 06:00:00;-14.946433207052829;-14.453983605641383;-13.660967025127704;-13.612376893980777
2018-12-03 07:00:00;-15.271227357434794;-14.378323840940144;-13.62326668130006;-12.905963585376684
2018-12-03 08:00:00;-14.778506912684364;-14.515884032644967;-14.225445879046719;-13.101298483300416
2018-12-03 09:00:00;-13.465435635635593;-14.054636160038923;-14.317909862648321;-11.905459146203427
2018-12-03 10:00:00;-14.40950930534905;-14.162453938415624;-13.557268466591193;-11.389245266218465
2018-12-03 11:00:00;-14.378340700232185;-13.336615846573546;-13.23814795784502;-11.427201405794154
2018-12-03 12:00:00;-14.161319878197187;-12.96701479916503;-13.287335809660716;-12.18878045221871
2018-12-03 13:00:00;-14.537296421312664;-12.99644339312758;-13.397896258352477;-12.108548337514481
2018-12-03 14:00:00;-15.031235547495784;-13.498991170594527;-12.727536927417578;-11.65814517041322
2018-12-03 15:00:00;-14.466282955266996;-13.426097633955186;-13.014438352686627;-11.522166593015214
2018-12-03 16:00:00;-15.025165337332698;-13.119934335273946;-13.000233814058559;-12.945728413575017
2018-12-03 18:00:00;-15.26801264761845;-13.06275602483741;-13.361658585566781;-13.132862932931483
2018-12-03 19:00:00;-15.356196331400916;-14.01950667670053;-13.438758113315112;-13.612976428367228
2018-12-03 20:00:00;-15.342549356907647;-14.179145231782954;-13.356399846062352;-13.470877524612472
2018-12-03 21:00:00;-14.822700734852836;-14.502783265708288;-13.490597640739338;-14.24060141054992
2018-12-03 22:00:00;-15.050149207673286;-14.436645775064752;-13.356327322729236;-13.602557416891495
2018-12-03 23:00:00;-15.318992293849073;-14.948682129379023;-13.392216479214767;-13.667805731410946
2018-12-04 00:00:00;-15.060854473208234;-14.526169832385046;-13.191042901659344;-12.580355638875831
2018-12-04 01:00:00;-14.782283321024691;-14.562404091938735;-13.556533280128633;-13.490846038160008
2018-12-04 02:00:00;-14.869454886183176;-13.833053753493857;-13.478736227507685;-13.330875640996789
2018-12-04 03:00:00;-15.265670513106983;-14.458285583549841;-13.211458642902967;-12.627473206230835
2018-12-04 04:00:00;-13.636614556158117;-14.332024101331072;-13.820670476053955;-12.904396779682132
2018-12-04 05:00:00;-13.926869842787497;-13.853760639091727;-13.491547024382507;-13.215700252535605
2018-12-04 06:00:00;-14.45585537540561;-14.041612917341357;-13.87581207103779;-13.092803691992765
2018-12-04 07:00:00;-13.934004573737372;-14.246100584784367;-13.17286210767066;-13.09511120413431
2018-12-04 08:00:00;-14.797019965469728;-14.159769343818;-13.749337839901804;-13.061424295369454
2018-12-04 09:00:00;-14.902277237773951;-14.170972852573252;-14.165649099654896;-11.719767348317529
2018-12-04 10:00:00;-14.417014482147652;-14.132451161718139;-14.042373621504112;-11.556244787596837
2018-12-04 11:00:00;-15.042696640672252;-13.2215819905571;-13.717601456753169;-12.163558099713168
2018-12-04 12:00:00;-15.020240299117072;-13.112433122020404;-13.66295731737226;-10.260273090129736
2018-12-04 13:00:00;-15.280358729765256;-13.478393146681173;-13.41283922743994;-10.307244567328613
